ID,Hash,filetype,filesize,family,tag
12126,f24e8ab565d2bb69cae17bb9a24baca76d2a612dd52f551d43beb5a978d49db4,6,123904,1,11
12127,cdc2bf8f967f5aa4d55f35b65730f6b3c8720854e44d3afec7f7b17c9d46f275,6,5967360,1,11
12128,9a85fedd52cfb242a1db6abaa499525aa31a07965da81d4fd4d35149e7f25e05,6,125952,1,11
12129,388ec812a99c031ff0c9b3a3bdcc4d186e79625b11b9029bc7b59ca7cf35a2b0,14,839,1,8
12130,c32914c64b8c39149da4f05e395cb55b90d46cbb7e7aa13087888f0f8f7ab273,6,784056,1,11
12131,e1c93f5619668f6f52263e7e1b114d51e89a8c89fb20dab7cd7020cdec894050,6,39424,1,11
12132,5346277064f2861ee2afd9e6e5f1fe15e222a84ed7b3952c79ab7f1118259072,14,403,1,8
12133,b18de2bf2bfa79e48f1bd3754eb9ee2acb1d1c7f884bc96cf817e40c3dc4616b,6,241152,1,11
12134,fd7848c1b0d15674b5af2115b357b9194f0f3f3d0c0c766e0ccfba5c99b27d63,1,147968,22,0
12135,eab7d69aeeaf4ee2055f8bbb8f66ce72473a15426dbd053c8c00c0a50699d5b0,1,148480,22,0
12136,b55d579a010505cfd9c69b8b6a1363d4f3d58a7270858e96192067694b12a376,5,0,1,11
12137,ebfb0cfb11fc15ecc2bece9b6b468108e987ccc620d273da385cdf50b525336f,5,0,1,11
12138,ef0cb0a1a29bcdf2b36622f72734aec8d38326fc8f7270f78bd956e706a5fd57,1,77312,23,0
12139,abf07581f60f704f5afb115d0ad26fb2841da6fd9c8e25f0246200f9a34891f8,5,0,1,11
12140,2be095b201379123f11fd66b382aee0ca9542e3061fa129bc53c1eddd9b895c3,1,558496,1,1
12141,5c29d787980bcbc04b2d32f696ed42325717725ca4cd3c62b81ea0d231e42016,5,0,1,11
12142,920de57fc90d5e1c3dec4a6e5f2fd87e3d222b132c9f9b16a93ae8fa87c34273,5,0,1,11
12143,a7de5177c68a64bd48b36d49e2853799f4ebcfa8e4761f7cc472f333dc5f65cf,5,0,1,11
12144,ea334a72daadf568c6aff1d4ef95cc78c4bf8dd56ca6506916eaded98542c707,5,0,1,11
12145,2f1c37754e38b4ac70a9559fbfbdbd28feda47f36be9cd9e3ad5bc844ee3feb6,11,4,1,8
12146,1fd20f60a59545de9f936ea824c0f4d9bf1521a93e4bb6934e1310e5d84da03a,5,0,1,11
12147,6afa98c4c7cf5baa9019fa567925cf3842758e44620308ee6421be1f4384c011,5,0,1,11
12148,86ba8352e99d2d0edf2c326e34c46b71ff5c72b76806d5a63114d869148a01d5,5,0,1,11
12149,d91b5bdbe390f486d57db1a77a5d0197a54f316b1db4fa37be36f659c97a352c,5,0,1,11
12150,4826c0d860af884d3343ca6460b0006a7a2ce7dbccc4d743208585d997cc5fd1,5,1024,1,8
12151,9268c46f5ed8b2f00cf3ef4d14e5bc327907b776a97b466a52bc9fbfea002e5b,6,521632,1,0
12152,e0fb791df2af677994bdc41a32f8158d0f45d020a198980dd9e8e9b7befa27bd,1,613224,1,5
