start,end,type
12478,7283,2
12478,7338,2
12478,7339,2
12478,7340,2
12478,7341,2
12479,7337,2
12479,7342,2
12479,7343,2
12479,7283,2
12479,7344,2
12479,7338,2
12479,7345,2
12479,7339,2
12479,7340,2
12479,7346,2
12352,7337,2
12352,7342,2
12352,7343,2
12352,7148,2
12352,7283,2
12352,7348,2
12352,7349,2
12352,7338,2
12352,7345,2
12352,7339,2
12377,7148,2
12377,7160,2
12377,7349,2
12377,7298,2
12377,7162,2
12365,7294,2
12365,7352,2
12365,7353,2
12365,7354,2
12365,7355,2
12365,7356,2
12365,7357,2
12365,7358,2
12365,7359,2
12365,7360,2
12334,7361,2
12334,7353,2
12334,7362,2
12334,7356,2
12334,7357,2
12334,7363,2
12334,7278,2
12334,7364,2
12334,7365,2
12334,7366,2
12350,7337,2
12350,7342,2
12350,7343,2
12350,7283,2
12350,7367,2
12350,7368,2
12350,7168,2
12350,7345,2
12350,7339,2
12350,7340,2
12480,7370,2
12480,7371,2
12356,7337,2
12356,7342,2
12356,7343,2
12356,7372,2
12356,7283,2
12356,7373,2
12356,7368,2
12356,7338,2
12356,7345,2
12356,7339,2
12451,7148,2
12451,7374,2
12451,7375,2
12451,7349,2
12451,7376,2
12372,7353,2
12372,7356,2
12372,7357,2
12372,7377,2
12372,7378,2
12372,7379,2
12372,7380,2
12372,7381,2
12372,7382,2
12372,7296,2
12381,7299,2
12390,7383,2
12392,7353,2
12392,7356,2
12392,7357,2
12392,7382,2
12392,7300,2
12392,7384,2
12472,7374,2
12472,7375,2
12472,7376,2
12401,7385,2
12399,7307,2
12399,7304,2
12394,7361,2
12394,7352,2
12394,7353,2
12394,7362,2
12394,7356,2
12394,7357,2
12394,7386,2
12394,7387,2
12394,7380,2
12481,7353,2
12481,7356,2
12481,7357,2
12481,7363,2
12481,7388,2
12481,7389,2
12481,7382,2
12481,7384,2
12342,7361,2
12342,7353,2
12342,7362,2
12342,7356,2
12342,7357,2
12342,7390,2
12342,7391,2
12342,7392,2
12342,7386,2
12482,7353,2
12482,7356,2
12482,7357,2
12482,7382,2
12482,7384,2
12483,7361,2
12483,7353,2
12483,7362,2
12483,7393,2
12483,7356,2
12483,7357,2
12483,7378,2
12483,7394,2
12483,7395,2
12483,7396,2
12359,7361,2
12359,7353,2
12359,7362,2
12359,7355,2
12359,7356,2
12359,7357,2
12359,7382,2
12359,7384,2
12329,7398,2
12484,7353,2
12484,7399,2
12484,7356,2
12484,7357,2
12484,7378,2
12484,7382,2
12484,7384,2
12484,7400,2
12382,7353,2
12382,7356,2
12382,7357,2
12382,7382,2
12382,7384,2
12382,7299,2
12341,7401,2
12341,7402,2
12341,7403,2
12341,7404,2
12485,7405,2
12487,7406,2
12487,7407,2
12487,7408,2
12487,7409,2
12487,7410,2
12487,7411,2
12487,7412,2
12487,7413,2
12487,7414,2
12468,7415,2
12488,7416,2
12491,7361,2
12491,7353,2
12491,7362,2
12491,7356,2
12491,7357,2
12491,7378,2
12491,7382,2
12491,7384,2
12491,7400,2
12334,12442,1
12334,12443,1
12334,12444,1
12334,12445,1
12350,12446,1
12350,12447,1
12350,12448,1
12350,12449,1
12350,12450,1
12472,12451,1
12481,12452,1
12481,12443,1
12481,12445,1
12483,12453,1
12483,12454,1
12483,12455,1
12483,12456,1
12359,12457,1
12359,12453,1
12359,12458,1
12359,12459,1
12359,12460,1
12359,12461,1
12359,12462,1
12359,12463,1
12359,12464,1
12359,12465,1
12487,12466,1
12487,12467,1
12468,12468,1
12491,12453,1
12491,12469,1
12491,12470,1
12491,12455,1
12472,12471,1
12451,12472,1
12451,12473,1
12451,12474,1
12451,12475,1
12451,12476,1
12341,12339,1
12492,12340,1
7418,533,4
7418,551,4
7418,534,4
7419,546,4
7419,525,4
522,7030,6
535,7030,6
535,7266,6
535,7267,6
535,7268,6
535,7269,6
547,7270,6
547,7271,6
547,7272,6
547,7030,6
547,7041,6
547,7038,6
547,7039,6
547,7276,6
419,7030,6
251,7030,6
451,7030,6
432,7277,6
287,7278,6
287,7279,6
287,7280,6
521,7282,6
461,7283,6
5912,7284,6
508,7285,6
508,7286,6
508,7287,6
508,7288,6
508,7289,6
508,7290,6
508,7291,6
508,7292,6
508,7293,6
508,7294,6
286,7278,6
286,7279,6
289,7278,6
289,7279,6
289,7295,6
221,7296,6
221,7279,6
302,7297,6
302,7296,6
302,7279,6
430,7298,6
492,7299,6
516,7300,6
494,7301,6
494,7302,6
494,7303,6
494,7304,6
494,7305,6
494,7306,6
494,7307,6
544,7308,6
544,7309,6
544,7310,6
544,7311,6
544,7312,6
544,7313,6
544,7314,6
544,7315,6
544,7316,6
544,7317,6
520,7318,6
539,7319,6
539,7320,6
539,7321,6
539,7322,6
539,7323,6
539,7324,6
539,7325,6
539,7326,6
539,7311,6
539,7312,6
536,7327,6
519,7328,6
519,7327,6
530,7329,6
517,7328,6
517,7327,6
495,7330,6
495,7331,6
495,7115,6
495,7333,6
495,7119,6
501,7335,6
518,7327,6
540,7327,6
542,7327,6
548,7327,6
531,7336,6
532,7336,6
389,7336,6
537,7336,6
528,7336,6
543,7336,6
523,7336,6
526,7336,6
432,12326,7
432,12327,7
432,12328,7
432,12329,7
432,12330,7
432,12331,7
432,12332,7
287,12333,7
287,12334,7
287,12335,7
463,12336,7
463,12337,7
463,12338,7
463,12339,7
463,12340,7
463,12341,7
463,12342,7
463,12343,7
521,12344,7
521,12345,7
521,12346,7
521,12347,7
461,12348,7
461,12349,7
461,12350,7
461,12351,7
461,12352,7
461,12353,7
461,12354,7
461,12355,7
461,12356,7
461,12357,7
490,12358,7
490,12359,7
490,12360,7
5912,12361,7
5912,12362,7
5912,12363,7
508,12364,7
508,12365,7
508,12366,7
527,12367,7
527,12368,7
527,12369,7
527,12370,7
527,12371,7
221,12372,7
221,12373,7
221,12374,7
302,12372,7
302,12373,7
302,12374,7
430,12375,7
430,12376,7
430,12377,7
430,12378,7
430,12379,7
492,12380,7
492,12381,7
492,12382,7
492,12383,7
492,12384,7
492,12385,7
475,12386,7
475,12387,7
475,12388,7
475,12389,7
475,12390,7
475,12391,7
516,12392,7
516,12393,7
493,12394,7
493,12395,7
493,12396,7
441,12394,7
441,12395,7
441,12396,7
494,12397,7
494,12398,7
494,12399,7
446,12400,7
446,12401,7
544,12402,7
544,12403,7
544,12404,7
544,12405,7
544,12406,7
544,12407,7
544,12408,7
544,12409,7
544,12410,7
544,12411,7
520,12349,7
539,12412,7
539,12413,7
539,12414,7
539,12415,7
539,12416,7
539,12417,7
539,12418,7
463,12419,7
461,12420,7
490,12421,7
490,12422,7
302,12419,7
430,12419,7
