ID,Domain,length,number_percent,char_percent,special_char_percent,domain_depth,tag
235,mailer20.upgrinfo.com,21,0.09523809523809523,0.9047619047619048,1.0,3,6
236,jsvainfo.upgrinfo.com,21,0.0,0.9047619047619048,1.0,3,6
237,12joingrub-whatsapp18.ezua.com,30,0.13333333333333333,0.9,0.9666666666666667,3,6
238,0m435.ikwb.com,14,0.2857142857142857,0.8571428571428571,1.0,3,6
239,03servermtbsecure.ezua.com,26,0.07692307692307693,0.9230769230769231,1.0,3,6
240,aclanplay.servegame.org,23,0.0,0.9130434782608695,1.0,3,6
241,21cn.https443.org,17,0.29411764705882354,0.8823529411764706,1.0,3,6
242,4153792.mynumber.org,20,0.35,0.9,1.0,3,6
243,02537.dnsrd.com,15,0.3333333333333333,0.8666666666666667,1.0,3,6
244,0725y2ht.sendsmtp.com,21,0.23809523809523808,0.9047619047619048,1.0,3,6
245,048g98.sendsmtp.com,19,0.2631578947368421,0.8947368421052632,1.0,3,6
246,1b3k94.ourhobby.com,19,0.21052631578947367,0.8947368421052632,1.0,3,6
247,0nline-authorisupportcom.ourhobby.com,37,0.02702702702702703,0.918918918918919,0.972972972972973,3,6
248,2fasecure.https443.org,22,0.18181818181818182,0.9090909090909091,1.0,3,6
249,04o6xu6.ikwb.com,16,0.25,0.875,1.0,3,6
250,10313.ezua.com,14,0.35714285714285715,0.8571428571428571,1.0,3,6
251,com.certifications.services,27,0.0,0.9259259259259259,1.0,3,6
252,00alpha.redirectme.net,22,0.09090909090909091,0.9090909090909091,1.0,3,6
253,0nlineclt.dnsrd.com,19,0.05263157894736842,0.8947368421052632,1.0,3,6
254,gaewaaa.upgrinfo.com,20,0.0,0.9,1.0,3,6
255,03bchas-eunlock.redirectme.net,30,0.06666666666666667,0.9,0.9666666666666667,3,6
256,1q33w675.mynumber.org,21,0.2857142857142857,0.9047619047619048,1.0,3,6
257,0w84s6v.sendsmtp.com,20,0.2,0.9,1.0,3,6
258,1073.ezua.com,13,0.3076923076923077,0.8461538461538461,1.0,3,6
259,0358850-idca.redirectme.net,27,0.25925925925925924,0.8888888888888888,0.9629629629629629,3,6
260,mailer17.upgrinfo.com,21,0.09523809523809523,0.9047619047619048,1.0,3,6
261,01recover5help0pp.redirectme.net,32,0.125,0.9375,1.0,3,6
262,mailer19.upgrinfo.com,21,0.09523809523809523,0.9047619047619048,1.0,3,6
